szerokość przekroju;wysokość przekroju;rozpiętość;stopień zbrojenia;średnica zbrojenia;Otulina;Moduł Younga stali;Moduł Younga betonu;Wytrzymałość betonu na rozciąganie;Obciążenie;Ugięcia
0.24;0.23;4.2;0.8;0.02;0.033;209;29;2.3;37;0.032465072
0.24;0.36;4.7;1.11;0.019;0.032;210;29;2.2;40.1;0.006808331
0.19;0.31;4.1;1.18;0.017;0.035;211;30;2.5;43.3;0.010732144
0.17;0.35;3;1.21;0.01;0.033;212;30;2.6;36.3;0.001799585
0.18;0.31;3.6;0.55;0.016;0.031;213;33;2.6;37;0.011086853
0.16;0.37;6.9;0.76;0.016;0.028;214;32;2.1;42.7;0.044586063
0.18;0.22;4.4;1.3;0.017;0.034;215;33;2.2;41.2;0.043312093
0.22;0.29;7.8;0.73;0.015;0.037;216;31;2.6;44.7;0.127854435
0.18;0.24;3.3;1.03;0.008;0.039;217;30;2.3;37.7;0.014352465
0.18;0.3;4.8;0.94;0.016;0.038;218;31;2.5;38.3;0.022136216
0.25;0.33;6.4;1.18;0.016;0.028;219;29;2.8;40.9;0.02056389
0.23;0.38;5;0.92;0.013;0.038;220;32;2.6;44;0.008855134
0.19;0.4;3;1.09;0.024;0.037;221;29;2.5;42.4;0.00126776
0.22;0.34;6.7;0.86;0.015;0.027;222;30;2.4;44.4;0.035149348
0.2;0.25;4.1;0.53;0.01;0.031;223;33;2.4;40.5;0.034591729
0.17;0.34;4.4;1.04;0.018;0.029;224;32;2.1;44.6;0.011257126
0.17;0.38;2.8;1.07;0.024;0.037;225;29;2.3;38.7;0.001417273
0.23;0.22;6.7;0.78;0.015;0.032;226;33;2.7;41;0.162305406
0.16;0.22;4.6;1.27;0.023;0.036;227;29;2.1;43.8;0.065595285
0.24;0.39;7.9;1.25;0.015;0.036;228;29;2.8;37.1;0.019914971
0.23;0.34;7.7;0.57;0.018;0.032;229;33;2.6;36.1;0.05876478
0.24;0.39;7.8;1.1;0.015;0.035;230;29;2.3;41.3;0.025180849
0.21;0.37;6.1;1.16;0.018;0.034;231;29;2.5;37.3;0.01356839
0.19;0.34;3.2;0.64;0.012;0.038;232;28;2.4;39;0.004666863
0.23;0.25;3.3;1.13;0.018;0.032;233;31;2.5;35.9;0.007117981
